Maria Ylipää	BALLADI ELOKUVASTA KLAANI	M	COV18
Marita Taavitsainen	KUN LÄHDIT POIS	M	COV18
Matti Esko	TUHANSIEN TÄHTIEN HOTELLI	M	COV18
Neon 2	PIENINÄ PALASINA	M	COV18
Paula Koivuniemi	IKIVANHA LEIKKI	M	COV18
Raimo Piipponen & Tulipunaruusut	KOHTALON HETKI	M	COV18
Reijo Taipale	SUURET TUNTEET	M	COV18
Saija Tuupanen	VAARALLISEN HYVÄÄ	M	COV18
Souvarit	KERRAN VAIN YHDEN KERRAN	M	COV18
Taisto Tammi	SUOPURSU	M	COV18
Tanssiorkesteri Syke	NOUSSUT ON KUU (Griechischer Wein)	M	COV18
Tapani Kansa	ANNA MUN JÄÄDÄ SUN LUO	M	COV18
Anita Hirvonen	MAITOLAVAN PRINSESSA	M	COV19
Anita Hirvonen	POIMI MINUT NYT	M	COV19
Bablo	HILJAISUUDEN ÄÄNET (The Sound of Silence)	M	COV19
Berit	KUUNSILTAA KULKEA SAIN	M	COV19
Cat Cat	KAUNIS ELÄMÄ	M	COV19
Hausmylly	PUTOAN PILVIIN	M	COV19
Jamppa Tuominen	MUISTOJEN VALSSI	M	COV19
Janne Tulkki	VIIMEINEN SATAMA	M	COV19
Jarkko Honkanen	VANHA 100 A	M	COV19
JVG	AMATIMIES	M	COV19
Kaija Koo	TINAKENKÄTYTTÖ	M	COV19
Kansan Suosikit	MAALAISPOJAN MOOTTORITIE	M	COV19
Ramses II	VILLIELÄIN	M	COV19
Rauli Badding Somerjoki	PILVET KARKAA NIIN MINÄKIN	M	COV19
Retropop	SUOMIHUMPPAA	M	COV19
Saija Tuupanen	KAKSI KULKIJAA	M	COV19
Suvi Teräsniska	KAUNIS JA PELOTON	M	COV19
Tomi Markkola	KERRO KUU	M	COV19
Tuure Kilpeläinen ja Kaihon Karavaani	KUISKAUKSIA TULEVAISUUDESTA	M	COV19
Virpi (Cat Cat)	RAKKAUS ON HULLUU (Summer is Crazy)	M	COV19
Anne Mattila	MENNYTTÄ AIKAA	M	COV22
BEHM ft Olavi Uusivirta	VIIMEINEN TANSSI	M	COV22
Eero Aven	IDÄN YÖ	M	COV22
Eero Aven	SURUJEN KITARA	M	COV22
Eero ja Jussi & The Boys	EI AIKA MENNYT KOSKAAN PALAA	M	COV22
Eini	YÖN JÄLKEEN	M	COV22
Georg Malmsten	KAUNIS VALHE	M	COV22
Jamppa Tuominen	YSTÄVÄLLE (ELÄN PÄIVÄN)	M	COV22
Jarkko Honkanen	SYDÄN VIESTIÄSI KAIPAILEE	M	COV22
Juha Tapio	KERRAN SITÄ OLLAAN NUORII	M	COV22
Kaija Koo	ONNEA MATKAAN	M	COV22
Kari Tapio	EN KADU MITÄÄN	M	COV22
Kikka	KÄYRÄ NOUSEMAAN	M	COV22
Kuumaa	YLIVOIMAINEN	M	COV22
Meiju Suvas	ANDALUCIAN YÖ	M	COV22
Päivi Paunu	PRAHAN KEVÄT	M	COV22
Rauli Badding Somerjoki	ARPISET HAAVAT	M	COV22
Saija Tuupanen	RANTAKOIVUN ALLA	M	COV22
Sami Keskitalo	MUISTOJEN KULTAAMA MAA	M	COV22
Yölintu	OLIT AARTEENAIN	M	COV22
Arttu Wiskari	MINNA	M	COV23
Eija Sinikka	VILLIRUUSU	M	COV23
Erika Vikman	ELIZABETH TAYLOR	M	COV23
Irwin Goodman	TUMMA VIRTA	M	COV23
Jarkko Honkanen	HETKEN KESTÄÄ ONNI KERRALLAAN	M	COV23
Jarkko Lehti	TUNTURISATU	M	COV23
Jonne Aaron	SYDÄMEN ÄÄNET	M	COV23
Juhamatti	VOINKO LUOTTAA	M	COV23
Kari Tapio	VIELÄ KERRAN	M	COV23
Kari Vepsä	ISÄN TYTTÖ	M	COV23
Katri Helena	VASTEN AURINGON SILTAA	M	COV23
Kikka	KIKKA POTPURI	M	COV23
Olli Halonen	ISÄN IKÄINEN	M	COV23
Paula Koivuniemi	KANSSAIN JOS AIOT VÄHÄN MATKAA	M	COV23
